PhraseId,SentenceId,Phrase,Sentiment,Bert_Loss,Bert_Logits,Bert_Labels,RoBerta_Loss,RoBerta_Logits,RoBerta_Labels,Albert_Loss,Albert_Logits,Albert_Labels
11,1,demonstrating the adage,2,"tensor(2.1900, grad_fn=<NllLossBackward>)","tensor([[-0.4635, -0.0491, -0.7773, -0.1091,  0.1565]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4075, grad_fn=<NllLossBackward>)","tensor([[-0.1164, -0.0994,  0.1975, -0.0346, -0.0020]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4316, grad_fn=<NllLossBackward>)","tensor([[ 0.3004, -0.2178,  0.2115,  0.0579, -0.3264]],
       grad_fn=<AddmmBackward>)",0
12,1,demonstrating,2,"tensor(2.2556, grad_fn=<NllLossBackward>)","tensor([[-0.5709, -0.1334, -0.8563, -0.1773,  0.3000]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4080, grad_fn=<NllLossBackward>)","tensor([[-0.1109, -0.0977,  0.1980, -0.0382, -0.0004]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.3563, grad_fn=<NllLossBackward>)","tensor([[ 0.2271, -0.1862,  0.3050,  0.2277, -0.5642]],
       grad_fn=<AddmmBackward>)",2
13,1,the adage,2,"tensor(2.2373, grad_fn=<NllLossBackward>)","tensor([[-0.4844, -0.0381, -0.8156, -0.1177,  0.2104]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4021, grad_fn=<NllLossBackward>)","tensor([[-0.1228, -0.0990,  0.1988, -0.0422, -0.0111]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.9738, grad_fn=<NllLossBackward>)","tensor([[ 0.5977, -0.1556, -0.3265, -0.0720, -0.1422]],
       grad_fn=<AddmmBackward>)",0
14,1,the,2,"tensor(2.3595, grad_fn=<NllLossBackward>)","tensor([[-0.5393, -0.0405, -0.9164,  0.0159,  0.2426]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4029, grad_fn=<NllLossBackward>)","tensor([[-0.1216, -0.1004,  0.1978, -0.0445, -0.0085]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4352, grad_fn=<NllLossBackward>)","tensor([[ 0.0873, -0.2859,  0.1669, -0.1171,  0.0486]],
       grad_fn=<AddmmBackward>)",2
15,1,adage,2,"tensor(2.1474, grad_fn=<NllLossBackward>)","tensor([[-0.5312, -0.1362, -0.7119, -0.2133,  0.3663]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4088, grad_fn=<NllLossBackward>)","tensor([[-0.1082, -0.0994,  0.1928, -0.0512, -0.0044]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.8280, grad_fn=<NllLossBackward>)","tensor([[ 0.5484, -0.1859, -0.1920,  0.0130, -0.3072]],
       grad_fn=<AddmmBackward>)",0
16,1,that what is good for the goose,2,"tensor(2.2467, grad_fn=<NllLossBackward>)","tensor([[-0.5073, -0.0293, -0.7963, -0.0691,  0.2679]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4001, grad_fn=<NllLossBackward>)","tensor([[-0.1247, -0.1154,  0.1941, -0.0521, -0.0132]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.0184, grad_fn=<NllLossBackward>)","tensor([[ 0.2192, -0.3274,  0.6874,  0.0166, -0.6262]],
       grad_fn=<AddmmBackward>)",2
17,1,that,2,"tensor(2.1056, grad_fn=<NllLossBackward>)","tensor([[-0.6488, -0.1368, -0.6337, -0.1553,  0.4547]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4050, grad_fn=<NllLossBackward>)","tensor([[-0.1181, -0.1038,  0.1942, -0.0457, -0.0108]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4574, grad_fn=<NllLossBackward>)","tensor([[ 0.1210, -0.2861,  0.1533, -0.1027,  0.0567]],
       grad_fn=<AddmmBackward>)",2
18,1,what is good for the goose,2,"tensor(2.2567, grad_fn=<NllLossBackward>)","tensor([[-0.5562, -0.0923, -0.8274, -0.1152,  0.3089]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4061, grad_fn=<NllLossBackward>)","tensor([[-0.1238, -0.1080,  0.1900, -0.0496, -0.0084]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.1528, grad_fn=<NllLossBackward>)","tensor([[ 0.2193, -0.3093,  0.5124,  0.0377, -0.5113]],
       grad_fn=<AddmmBackward>)",2
19,1,what,2,"tensor(2.1590, grad_fn=<NllLossBackward>)","tensor([[-0.6198, -0.1395, -0.7257, -0.0179,  0.2765]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.3925, grad_fn=<NllLossBackward>)","tensor([[-0.1223, -0.1022,  0.2058, -0.0600, -0.0135]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4614, grad_fn=<NllLossBackward>)","tensor([[ 0.1282, -0.2819,  0.1485, -0.0997,  0.0452]],
       grad_fn=<AddmmBackward>)",2
20,1,is good for the goose,2,"tensor(2.2540, grad_fn=<NllLossBackward>)","tensor([[-0.5725, -0.0548, -0.8286, -0.1711,  0.3143]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4080, grad_fn=<NllLossBackward>)","tensor([[-0.1220, -0.1071,  0.1882, -0.0507, -0.0068]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.0093, grad_fn=<NllLossBackward>)","tensor([[ 0.2030, -0.3261,  0.7072,  0.0620, -0.6423]],
       grad_fn=<AddmmBackward>)",2
21,1,is,2,"tensor(2.2378, grad_fn=<NllLossBackward>)","tensor([[-0.5818, -0.1196, -0.8265, -0.0867,  0.2630]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4035, grad_fn=<NllLossBackward>)","tensor([[-0.1209, -0.0989,  0.1970, -0.0472, -0.0081]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4550, grad_fn=<NllLossBackward>)","tensor([[ 0.1175, -0.2864,  0.1534, -0.0987,  0.0462]],
       grad_fn=<AddmmBackward>)",2
22,1,good for the goose,3,"tensor(1.4383, grad_fn=<NllLossBackward>)","tensor([[-0.4879, -0.0276, -0.8333,  0.0057,  0.1912]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.6472, grad_fn=<NllLossBackward>)","tensor([[-0.1207, -0.1046,  0.1850, -0.0505, -0.0044]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.6635, grad_fn=<NllLossBackward>)","tensor([[ 0.2261, -0.2606,  0.5097, -0.0082, -0.5903]],
       grad_fn=<AddmmBackward>)",2
23,1,good,3,"tensor(1.6096, grad_fn=<NllLossBackward>)","tensor([[-0.5029, -0.1031, -0.7172, -0.1984,  0.2515]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.6526, grad_fn=<NllLossBackward>)","tensor([[-0.1248, -0.1009,  0.1981, -0.0547, -0.0100]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.7102, grad_fn=<NllLossBackward>)","tensor([[ 0.1194, -0.2835,  0.1517, -0.1025,  0.0442]],
       grad_fn=<AddmmBackward>)",2
24,1,for the goose,2,"tensor(2.3440, grad_fn=<NllLossBackward>)","tensor([[-0.5071, -0.0404, -0.8856,  0.0372,  0.2516]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4078, grad_fn=<NllLossBackward>)","tensor([[-0.1189, -0.1046,  0.1896, -0.0503, -0.0082]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.1868, grad_fn=<NllLossBackward>)","tensor([[ 0.2068, -0.2898,  0.4820,  0.1151, -0.5338]],
       grad_fn=<AddmmBackward>)",2
25,1,for,2,"tensor(2.1923, grad_fn=<NllLossBackward>)","tensor([[-0.5524, -0.1710, -0.7702, -0.2078,  0.3732]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4020, grad_fn=<NllLossBackward>)","tensor([[-0.1210, -0.1071,  0.1962, -0.0467, -0.0115]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4599, grad_fn=<NllLossBackward>)","tensor([[ 0.1263, -0.2832,  0.1499, -0.0989,  0.0453]],
       grad_fn=<AddmmBackward>)",2
26,1,the goose,2,"tensor(2.3187, grad_fn=<NllLossBackward>)","tensor([[-0.5080, -0.0617, -0.8639,  0.0702,  0.2212]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4057, grad_fn=<NllLossBackward>)","tensor([[-0.1189, -0.0963,  0.1941, -0.0518, -0.0080]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4855, grad_fn=<NllLossBackward>)","tensor([[ 0.3355, -0.2611,  0.0967, -0.0841, -0.3911]],
       grad_fn=<AddmmBackward>)",0
27,1,goose,2,"tensor(2.2291, grad_fn=<NllLossBackward>)","tensor([[-0.6040, -0.1678, -0.8212, -0.1083,  0.3060]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4129, grad_fn=<NllLossBackward>)","tensor([[-0.1111, -0.0956,  0.1890, -0.0452, -0.0049]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4553, grad_fn=<NllLossBackward>)","tensor([[ 0.1143, -0.2865,  0.1509, -0.1012,  0.0439]],
       grad_fn=<AddmmBackward>)",2
28,1,"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",2,"tensor(1.9918, grad_fn=<NllLossBackward>)","tensor([[-0.4772, -0.0679, -0.4825, -0.1870,  0.4200]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.3941, grad_fn=<NllLossBackward>)","tensor([[-0.1259, -0.0915,  0.2096, -0.0424, -0.0146]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.0735, grad_fn=<NllLossBackward>)","tensor([[ 0.4386, -0.3631,  0.6803,  0.0340, -0.6507]],
       grad_fn=<AddmmBackward>)",2
29,1,"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story",2,"tensor(2.0171, grad_fn=<NllLossBackward>)","tensor([[-0.4712, -0.0269, -0.5192, -0.1670,  0.3600]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.3957, grad_fn=<NllLossBackward>)","tensor([[-0.1251, -0.0930,  0.2071, -0.0455, -0.0127]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.2154, grad_fn=<NllLossBackward>)","tensor([[ 0.4623, -0.2653,  0.4680, -0.1275, -0.5945]],
       grad_fn=<AddmmBackward>)",2
30,1,is also,2,"tensor(2.2796, grad_fn=<NllLossBackward>)","tensor([[-0.5521, -0.0772, -0.8750, -0.1067,  0.2285]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4007, grad_fn=<NllLossBackward>)","tensor([[-0.1227, -0.0940,  0.2019, -0.0461, -0.0074]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.5105, grad_fn=<NllLossBackward>)","tensor([[ 0.5888, -0.3220,  0.1798,  0.0217, -0.3921]],
       grad_fn=<AddmmBackward>)",0
31,1,also,2,"tensor(2.2851, grad_fn=<NllLossBackward>)","tensor([[-0.5213, -0.0579, -0.8869, -0.1231,  0.1941]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4053, grad_fn=<NllLossBackward>)","tensor([[-0.1194, -0.1012,  0.1951, -0.0470, -0.0057]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4373, grad_fn=<NllLossBackward>)","tensor([[ 0.0902, -0.2848,  0.1653, -0.1198,  0.0511]],
       grad_fn=<AddmmBackward>)",2
32,1,"good for the gander , some of which occasionally amuses but none of which amounts to much of a story",2,"tensor(2.0385, grad_fn=<NllLossBackward>)","tensor([[-0.4503, -0.0834, -0.5562, -0.1938,  0.3705]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4016, grad_fn=<NllLossBackward>)","tensor([[-0.1227, -0.0931,  0.2005, -0.0444, -0.0106]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.1691, grad_fn=<NllLossBackward>)","tensor([[ 0.4658, -0.3229,  0.5137, -0.1626, -0.6125]],
       grad_fn=<AddmmBackward>)",2
33,1,"for the gander , some of which occasionally amuses but none of which amounts to much of a story",2,"tensor(2.0431, grad_fn=<NllLossBackward>)","tensor([[-0.4690, -0.0989, -0.5421, -0.1802,  0.4305]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4026, grad_fn=<NllLossBackward>)","tensor([[-0.1202, -0.0905,  0.2006, -0.0427, -0.0119]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.1587, grad_fn=<NllLossBackward>)","tensor([[ 0.4039, -0.2761,  0.5018, -0.1948, -0.6333]],
       grad_fn=<AddmmBackward>)",2
34,1,"the gander , some of which occasionally amuses but none of which amounts to much of a story",1,"tensor(1.5702, grad_fn=<NllLossBackward>)","tensor([[-0.4216, -0.0498, -0.4928, -0.1373,  0.3946]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.6935, grad_fn=<NllLossBackward>)","tensor([[-0.1207, -0.0902,  0.1993, -0.0417, -0.0103]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.8982, grad_fn=<NllLossBackward>)","tensor([[ 0.3271, -0.2769,  0.4417, -0.1820, -0.6428]],
       grad_fn=<AddmmBackward>)",2
35,1,"the gander ,",2,"tensor(2.1042, grad_fn=<NllLossBackward>)","tensor([[-0.6183, -0.1361, -0.6215, -0.2812,  0.5314]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4033, grad_fn=<NllLossBackward>)","tensor([[-0.1158, -0.0971,  0.2002, -0.0424, -0.0079]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.1904, grad_fn=<NllLossBackward>)","tensor([[ 0.2091, -0.3114,  0.4767,  0.0657, -0.4261]],
       grad_fn=<AddmmBackward>)",2
36,1,the gander,2,"tensor(2.2580, grad_fn=<NllLossBackward>)","tensor([[-0.5072, -0.0348, -0.8200, -0.0355,  0.2142]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4034, grad_fn=<NllLossBackward>)","tensor([[-0.1180, -0.0995,  0.1958, -0.0520, -0.0109]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.0752, grad_fn=<NllLossBackward>)","tensor([[ 0.1354, -0.2001,  0.6418,  0.1971, -0.7210]],
       grad_fn=<AddmmBackward>)",2
37,1,gander,2,"tensor(2.2685, grad_fn=<NllLossBackward>)","tensor([[-0.5084, -0.0611, -0.8384, -0.0133,  0.1972]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4074, grad_fn=<NllLossBackward>)","tensor([[-0.1138, -0.0965,  0.1923, -0.0506, -0.0118]],
       grad_fn=<AddmmBackward>)",2,"tensor(0.9549, grad_fn=<NllLossBackward>)","tensor([[ 0.1205, -0.2088,  0.8617,  0.3400, -0.8234]],
       grad_fn=<AddmmBackward>)",2
38,1,",",2,"tensor(2.1323, grad_fn=<NllLossBackward>)","tensor([[-0.6058, -0.1828, -0.6865, -0.2059,  0.4380]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4031, grad_fn=<NllLossBackward>)","tensor([[-0.1191, -0.1031,  0.1978, -0.0480, -0.0041]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.8548, grad_fn=<NllLossBackward>)","tensor([[ 0.6621, -0.3434, -0.1307,  0.2593, -0.2406]],
       grad_fn=<AddmmBackward>)",0
39,1,some of which occasionally amuses but none of which amounts to much of a story,2,"tensor(2.0170, grad_fn=<NllLossBackward>)","tensor([[-0.4629, -0.1350, -0.5693, -0.1411,  0.2745]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4080, grad_fn=<NllLossBackward>)","tensor([[-0.1184, -0.0943,  0.1947, -0.0415, -0.0066]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.3322, grad_fn=<NllLossBackward>)","tensor([[ 0.4397, -0.2742,  0.3129, -0.1036, -0.5100]],
       grad_fn=<AddmmBackward>)",0
40,1,some of which,2,"tensor(2.2519, grad_fn=<NllLossBackward>)","tensor([[-0.5211,  0.0166, -0.8335, -0.1807,  0.2236]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4078, grad_fn=<NllLossBackward>)","tensor([[-0.1213, -0.0988,  0.1911, -0.0455, -0.0103]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.1874, grad_fn=<NllLossBackward>)","tensor([[ 0.3907, -0.3262,  0.5392,  0.1212, -0.5480]],
       grad_fn=<AddmmBackward>)",2
41,1,some,2,"tensor(2.2257, grad_fn=<NllLossBackward>)","tensor([[-0.5342, -0.0476, -0.7939, -0.1655,  0.2977]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.3978, grad_fn=<NllLossBackward>)","tensor([[-0.1210, -0.0996,  0.2019, -0.0555, -0.0097]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4585, grad_fn=<NllLossBackward>)","tensor([[ 0.1244, -0.2846,  0.1516, -0.1002,  0.0490]],
       grad_fn=<AddmmBackward>)",2
42,1,of which,2,"tensor(2.2182, grad_fn=<NllLossBackward>)","tensor([[-0.5751, -0.0816, -0.7911, -0.1669,  0.3243]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4134, grad_fn=<NllLossBackward>)","tensor([[-0.1133, -0.0912,  0.1877, -0.0467, -0.0082]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.1339, grad_fn=<NllLossBackward>)","tensor([[ 0.3401, -0.2341,  0.5816,  0.0275, -0.6041]],
       grad_fn=<AddmmBackward>)",2
43,1,which,2,"tensor(2.2890, grad_fn=<NllLossBackward>)","tensor([[-0.5445, -0.0827, -0.8730, -0.1067,  0.2650]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4015, grad_fn=<NllLossBackward>)","tensor([[-0.1251, -0.1023,  0.1965, -0.0485, -0.0122]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4496, grad_fn=<NllLossBackward>)","tensor([[ 0.1019, -0.2886,  0.1531, -0.1006,  0.0396]],
       grad_fn=<AddmmBackward>)",2
44,1,occasionally amuses but none of which amounts to much of a story,2,"tensor(2.0645, grad_fn=<NllLossBackward>)","tensor([[-0.4352, -0.1195, -0.6302, -0.1400,  0.2313]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4069, grad_fn=<NllLossBackward>)","tensor([[-0.1219, -0.0948,  0.1955, -0.0401, -0.0065]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.2240, grad_fn=<NllLossBackward>)","tensor([[ 3.0091e-01, -2.8962e-01,  4.1746e-01,  6.8009e-05, -6.0758e-01]],
       grad_fn=<AddmmBackward>)",2
45,1,occasionally,2,"tensor(2.2921, grad_fn=<NllLossBackward>)","tensor([[-0.5315, -0.0848, -0.8686, -0.0847,  0.2676]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4080, grad_fn=<NllLossBackward>)","tensor([[-0.1151, -0.1015,  0.1928, -0.0469, -0.0048]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4554, grad_fn=<NllLossBackward>)","tensor([[ 0.1151, -0.2875,  0.1522, -0.1003,  0.0488]],
       grad_fn=<AddmmBackward>)",2
46,1,amuses but none of which amounts to much of a story,2,"tensor(2.1035, grad_fn=<NllLossBackward>)","tensor([[-0.3988, -0.0478, -0.6721, -0.1648,  0.1834]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4090, grad_fn=<NllLossBackward>)","tensor([[-0.1140, -0.0901,  0.1948, -0.0424, -0.0080]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.1716, grad_fn=<NllLossBackward>)","tensor([[ 0.2414, -0.2424,  0.4845,  0.0499, -0.6800]],
       grad_fn=<AddmmBackward>)",2
47,1,amuses,3,"tensor(1.4545, grad_fn=<NllLossBackward>)","tensor([[-0.5463, -0.0706, -0.8498, -0.0281,  0.2256]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.6486, grad_fn=<NllLossBackward>)","tensor([[-0.1146, -0.0930,  0.1939, -0.0465, -0.0080]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4779, grad_fn=<NllLossBackward>)","tensor([[ 0.2227, -0.1837,  0.4680,  0.2258, -0.5752]],
       grad_fn=<AddmmBackward>)",2
48,1,but none of which amounts to much of a story,1,"tensor(1.4859, grad_fn=<NllLossBackward>)","tensor([[-0.4323, -0.0499, -0.6016, -0.2105,  0.2195]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.6981, grad_fn=<NllLossBackward>)","tensor([[-0.1169, -0.0956,  0.1906, -0.0364, -0.0075]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.9383, grad_fn=<NllLossBackward>)","tensor([[ 0.4227, -0.2974,  0.3380, -0.1135, -0.5180]],
       grad_fn=<AddmmBackward>)",0
49,1,but,2,"tensor(2.2409, grad_fn=<NllLossBackward>)","tensor([[-0.5123, -0.0648, -0.8021, -0.0463,  0.2440]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4039, grad_fn=<NllLossBackward>)","tensor([[-0.1246, -0.1007,  0.1945, -0.0507, -0.0074]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.7451, grad_fn=<NllLossBackward>)","tensor([[ 0.6073, -0.6131, -0.1591, -0.3391, -0.0602]],
       grad_fn=<AddmmBackward>)",0
50,1,none of which amounts to much of a story,1,"tensor(1.4457, grad_fn=<NllLossBackward>)","tensor([[-0.4379, -0.0352, -0.6751, -0.1807,  0.1341]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.7006, grad_fn=<NllLossBackward>)","tensor([[-0.1132, -0.0979,  0.1914, -0.0384, -0.0069]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.9225, grad_fn=<NllLossBackward>)","tensor([[ 0.2963, -0.2832,  0.4779, -0.0877, -0.6455]],
       grad_fn=<AddmmBackward>)",2
51,1,none,2,"tensor(2.2384, grad_fn=<NllLossBackward>)","tensor([[-0.5521, -0.1050, -0.8299, -0.1274,  0.2605]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.3960, grad_fn=<NllLossBackward>)","tensor([[-0.1189, -0.0956,  0.2065, -0.0511, -0.0111]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4558, grad_fn=<NllLossBackward>)","tensor([[ 0.1161, -0.2848,  0.1494, -0.1007,  0.0374]],
       grad_fn=<AddmmBackward>)",2
