Score,Summary
4,Tastes Great. Arrived in 2 days!
4,Great for after lunch
3,"Nice little mints, but pricey."
4,Altoids mini mints tins
4,Altoids Smalls-Wintergreen
2,Sugarfree...
4,Tasty!!
4,These mints are awesome!
1,Altoids Smalls
4,Love these! And reusable containers
4,Altoids
3,A huge hit at the office!
4,"Love 'em, they're great!"
4,Love these!
4,fresh!
4,Wintergreen Me
0,These just don't do it for me as breath mints
4,"better than average, more expensive than average."
4,My cat loves it!
4,Great For Fat Cats and Senior Citizens
1,Nearly killed the cats
0,CHANGED FORMULA MAKES CATS SICK!!!!
3,Best by the case
4,Looking for a different flavor?
0,Price cannot be correct
2,More Hot/Spicy than McCormick's Brand
4,Ahmad Loose Imperial Blend Tea is great for the price
4,Nice tea
4,A fragrant tea
4,Best Ahmad Tea
4,My favorite tea
4,Best tea ever!
1,Not a real tea
3,DELICIOUS
4,Best Bloody Mary mixer
4,The Best
4,Mcclures bloody Mary mix
0,Not Good
4,Love this tea!
4,Really Nice Taste!
4,just give me some watermelon and citron sea salt
0,Furniture Polish Taste
4,Big tub o' salt
1,"Taste is neutral, quantity is DECEITFUL!"
4,Eukanuba puppy small breed dog food
3,High Quality... But it gave my dog wicked gas..
4,Great tasting green tea and such a great deal.
4,OMG best chocolate jelly belly
4,Excellent loose tea.
4,Good anytime hot tea
4,My everyday cup of Tea
3,This is what you get in the store
3,Ahmad Tea
1,Disappointed
4,Wonderful!
4,Best way to buy kcups
4,delicious
4,keeps you out of the dentest chair
4,Super!  SuperFoods are Super easy!
2,Pok Chops
0,Sad outcome
3,Best Energy Shot For Me
0,Don't Waste Your Money
1,"If you can't handle caffeine, this is not for you."
4,"Yum, Yummy, Yummier"
0,Reeks like chemicals
1,Disappointed!
4,Great for Gluten-free lifestyle!!
4,my dog loves these
4,YUMMY
4,sugar in the raw
2,Manufacturing Problems Diminish Product
4,Good product but terrible agricultural practices
4,Sugar in the raw
4,Sugar in the raw
0,Lie!!!!
3,It's sugar..
3,Excellent but not perfect
3,Good product
4,You'll never use white sugar again.
2,Thanks for the review Scott
4,great
4,Awesome Sugar!
3,Great product - weak packaging
4,Excellent!
4,Excellent for G/F
4,Amazing!
4,Very tasty chips!
4,YUMMY
4,Excellent Taste
0,Over priced chips and lack rice taste
4,Rotel saves me on a daily basis
4,"it's fabulous, but *not* from amazon!"
2,too expensive
2,Not mild enough for me lol
4,Great Natural Energy
4,I like this stuff
4,Great Energy
2,Not sure
4,"The best energy shot out there, smooth and organic!"
4,"Fantastic, natural energy"
4,Way better than Guayaki!
2,Doesn't taste that good but provides you the energy
4,Rocket in a Bottle
3,This stuff works!!!
4,Favorite energy shot and all natural too!
4,natural energy boost
4,Best energy shot I have ever tasted!
4,The Best
4,Tested by a trucker
4,Good Stuff
4,Great energy drink without artificial ingredients
4,"Flavor getting better, energy is great"
0,So awful I can barely describe
3,could use only once
4,VANILLA TOOTSIE ROLLS
4,One of my Favoritte foods
4,Fantastic!
4,WOW
0,Very Dissapointed
0,what quantity is it!
4,Very Good Coffee
4,Very Tasty
4,Excellent coffee
4,Hot!
4,Hot and delicious
4,Swiss Chalet
4,Oyster Sauce
4,ABSOLUTELY DELICIOUS!
4,Great gag gift
2,arrived FAST
2,Penguin Pooper
0,Never Arrived
4,coffee-mate coffee creamer hazelnut
4,No broken creamers!
3,Shipped great
4,Better Packaging
4,coffee-mate creamer
4,Perfect for work
0,AWFUL
4,Pop-Tarts Work of Art
4,"Yes, this is real excellent coffee!!!"
0,Does not taste very good
0,No no
4,The king of all seasoning salts.
4,Toasted Sesame oil
4,"Tasty, tasty tasty!"
4,"Love, Love, Love These!"
3,"great for eating whole foods, clean with veggie brush"
4,Absolutely LOVE IT!!
2,Only good for ice
4,Great for teething
2,Wonderful idea-difficult to clean.
2,I wasn't that impressed
3,Love the Fresh Food Feeder!!
4,Great Beans!!!
4,Good stuff!
4,excellent - exactly what I expected
4,These are the Best!
4,Love Love Love
4,The product is great but the price is out of line
4,Swedish Pearl is not the same as  Belgian Pearl
4,Perfect!
4,great taste
4,Taste-tested by a wine maker
3,Excellent Everyday Olive Oil
3,"Love Weavers, I am a fan."
4,Make My Day
4,Treat yourself to the best coffee!
0,Bitter
4,"Drinking it now, love the latin america ""aroma"""
4,GREAT SNACK
4,Best Bar
4,Can't find anywhere else!
4,My New Granola Bar
4,Another Husband Favorite
3,Price surprise
4,Very Smooth Coffee - Highly Recommended
3,A saving grace for Green Mountain Coffee...
4,My favorite
3,Good Coffee
4,Nantucket blend k-cups
4,Fantastic Chicken Noodle soup
4,Greatest Oil since slice bread !!!!!!!
4,Best Ever!
4,Deliciously scrumptious
4,Heinz no more!
4,This is really good stuff
2,Disappointing
0,Waste of money
4,Porcini Mushrooms an excellent product
4,"Excellent flavor, mostly large pieces"
4,The Best
4,Good for the money
3,"not the highest quality, but good for the price."
4,Fresh - Whole.. perfect
4,Fresh and Tasty
3,Valentine gift winner
1,Cat won't go near it!
4,Simply WIld Chick & Brown RIce for Cats
4,Ham Base
0,MSG Ham Base
4,Delisious Pancakes
4,A Great All Around Mix
4,Great mix
4,Perfect mix for egg-allergic!
4,Arrowhead Mills whole grain buttermilk Pancakes are easy!
3,Good for Egg Allergy
2,Love the product disappointed in the shipping.
0,poor item packaging
0,Awful
0,disappointing
4,Great Healthy Snack
4,Sweet and Soothing
4,minty flavor
4,Ingredients take about 2 seconds to read
4,A Fantastic & Healthy Product
4,Great product
4,Excellent tea!
4,french's roast'n bags
4,best roast ever
4,Franch's is the best
4,Double the pleasure!
4,VERY GOOD! Great taste and easy for a single guy!
4,An acquired taste!
0,Look elsewhere for your whole grains
4,Hey!
3,These are Famous for a reason.
4,Wow
4,"God, I love these cookies!!!"
3,Hard
4,Kettle potato chips:  Fully loaded baked potato
4,"Fresh, Lightly-Spiced, Crunchy Kettle Chips. Good Value, Good Product."
3,glad to find them in 1 oz size
3,"pretty good, could be better"
4,a slight taste of jalapeno
4,Best chips ever
4,Kettle potato chips:  Sweet onion
4,Ridiculously Good
4,Delicious!
3,PUCKER UP
4,I love these chips.  They are thick and crunchy!
3,Quite good
4,Delicious
4,Salty and vinegary!!!
4,WOW!!!!
4,Best gluten-free dairy-free chips
3,A unique flavor for fans of Thai food
2,"Honey Dijon leaves bad aftertaste, NY Cheddar are pretty good"
4,Yowzah!!
3,Very good.
4,Excellent!
4,Tangy goodness.
2,Heavy on the Vinegar
3,"A delicious, crisp chip with good flavor"
4,BEST BUY in BBQ Chips
4,Love Them!
4,Crunchy and Tasty
4,Convenience at low cost
2,An Acquired Taste
4,Best deal ever!
4,Yum!
4,Barbeque perfection
4,Excellent Thai-flavored chip
4,Best Kettle Chips!
4,The Supreme Salt & Vinegar
4,Delicious as always!
4,OooH Yummy!
3,Not quite the best...
3,want to gaain twenty pounds with no control whatsoever? Buy this!
4,One of Their Best Flavors
4,Love these chips!
4,Highly addicitive chips
4,These are AWESOME!
4,"One bite and you'll become a ""chippoisseur"""
4,"Crunchy, salty, sweet...finally, a Superbowl snack that scooores!"
4,These chips make me weak at the knees
4,By far my favorite chips
3,"Good chips, more cheese"
3,Pretty good tasting chip
3,Yummy chips
3,Best sour cream & onion chip I've had
4,Great chips
4,Fabulous!
4,Box-o-Chips
4,fantastic!you can not beat this taste and you can not resist to it only one if you are spice lover
3,An addictive potato chip
4,Great Chip!
4,"Excellent balance of taste, crunchiness, and moisture"
4,Yum
4,Very good chips at a great price.
1,70% of the chips in the bag are over cooked
4,Great chips!
3,Not bad but a little hard to get used to
3,Firm quality chip
1,Not  Very Creamy or Chivey...
2,Prefer other flavors
4,These will be habit forming!
1,Good and tangy
4,the best chips ever
4,I do not even like kettle chips and I love these
4,You have to love sea salt and vinegar already
4,Addictive
4,amazing chips
4,Best Chip Ever
3,"Tangy, spicy, and sweet- oh my!"
3,An indulgence with a bite
4,The best I've had
4,Excellent chip!
1,salt and vinegar chips
4,Delicious!!
3,I like them.
4,Love Kettle Chips
4,Best unsalted chips
4,So Delicious...Yet my companions wont touch them.
1,"Love Kettle Chips, but not this flavor!"
0,Maybe the worst chips ever.
0,Surprise 1  It's different...
4,Tasty
3,Crisp
2,Vinegar... Not my taste!
4,spicy thai chips
4,"Delicious, what else did you expect?"
4,Great Value
0,"I have had better ""Jalapeno Kettle Chips"""
3,Spicy but good
2,boulder salt and malt vinegar chips are way better
1,POTATO CHIPS
4,"Lightly Salted, Heavily Delicious!"
2,Too Much Flavor
4,Love at first bite!  Tongue-puckering tang and crunch!
4,The Best Chips...PERIOD!
4,Delicious Extra Crunchy
4,Chip snob alert!
4,Best Salt & Vinegar!
4,Gourmet powerful Salt & Vinegar chips!
0,They changed the Chips now they taste horrible
4,Do not miss the salt!
4,Great deal
4,Best Chips out there!!!
3,"Great price, but not as tangy as I expected."
2,burnt
2,"Gaaak!  An ""extreme"" potato chip...!"
1,Kettle Chips
4,"Absotively, Posilutely Delicious"
0,Gone down hill
0,completely ripped off
4,C H I P.....C H I P.....H O O R A Y....!!!!!  :  )  ( B A C K Y A R D.....B A R B E C U E )
2,Not the Best
0,STALE.  Beware buying these on special!
3,THESE ARE VERY GOOD
0,USED to be my favorite chips
0,"Stale, Rancid Oil Taste, And if You Like Even the Tiniest Bit of Salt Flavor on Your Chips..."
0,Disgusting
1,"Taste terrible, way too strong"
0,Over-fried
3,No salt Kettle chips.
2,Not as good as the English sell
0,VERY DISAPPOINTED
0,dripping in oil
1,Not so good.
1,Bags O' Salt with chips added.
0,Chips
0,Garbage
0,They're Not Madhouse Munchies!!!
0,Too SOUR!
0,AWFUL TASTE
4,delicious
0,"Kettle has sold out, the chips are horrible now"
0,The bags were damaged with holes and stains.
0,Kettle Chips Make Great Mouse Food
4,orgasmic
4,A tang that packs a punch!
4,great (hot) new flavor....
0,HORRIBLE I CANT BELIEVE THIS!
4,Favorite Kettle flavor and a great value!
0,Kettle Brand Potato Chips - New York Cheddar
4,My favorite flavor
4,So much flavor your farts will smell like sweet onions
4,Great Chip!
4,Awesome and delicious!
4,The only thing I have ever been addicted too...these chips!
4,"One bite and you'll become a ""chippoisseur"""
4,Good chips
0,what happened? the recipe has changed
4,"YUM! If you want a snack, have something REALLY good!"
4,a good buy
4,Yoli
3,Good chips
4,Awesome
0,burns the skin off your lips
4,Great chips with very low sodium
4,Kettle Chips
3,Spicy Thai
4,smiles
4,My favorite Kettle Chip
4,Best salt & vinegar chips out there!
4,Amazing Service
4,Crunchy and spicy.
3,Pretty tasty and decently spiced. . . .
4,Great Tasting Chips
1,"Kettle Chips, Sea Salt"
2,Good deal but close expiration date!
4,GREAT TASTING CHIPS
4,"Buy These, Eat These, Be Happy!"
4,Eating them for years.
4,These chips will make you fat
4,Like Spice? Get these
4,Fantastic
4,"Sweet, salty, tangy: the way a snack should be"
4,"One bite and you'll become a ""chippoisseur"""
4,"One bite and you'll become a ""chippoisseur"""
4,Some of the best chips anywhere
4,the defacto standard for Salt and Vinegar chips
4,Yummy!
3,Delicious!
4,"Lightly salted, yet tasty"
4,YUMMY!
4,Caution: Kettle Chips are addictive!
3,The chip with a kiss of salt
4,Crunch. Wow!
4,Great strong flavor
4,yummy for your tummy
3,Best Chips Out There!
4,These chips tasted good
4,awesome chips
2,I dont know if...
4,Delicious!
1,Kettle Foods Spicy Thai Chips
0,Expired stock
4,these potato chips are yummy....
0,ONLY awful because SOMETIMES they are awful
3,4 Stars for price and taste
4,"CRISPY, CRUNCHY, AND ROBUST"
3,Tangy and delicious snack
4,Best Chip
2,Not low salt
4,Best Chips I've Ever Tasted
3,Tasty!
4,Love the smaller bags!
2,Things you need to know
4,I made a mistake.....
2,Ok but Miss Vickie's Are Better
2,"Do they have to ""bite back""?"
3,These chips are awesome if not best but....
3,kettle chips
4,GREAT DEAL
4,What a great tea at this price
4,delicious
4,Great well balanced Earl Grey
4,Best Earl Grey ever
4,favorite Earl Grey tea
4,Delicious
4,The best
4,A HUGE Success
4,For your Health
4,Shrimp stir fry
3,Do not taste from bottle! Mix with vanilla for true flavor.
4,Bavarian Creme Flavor Oil
4,The oldest soft drink is still the best!
4,Made in Michigan since 1866
4,"Caramel flavor, excellent for baking and toppings (tips for using agave, too)"
3,These weigh 46 oz. NOT 46 fluid ounces
4,Great buy!
4,excellent sweetner
4,Agave syrup
4,Sugar Substitute
3,"Good, but container could be better"
4,Great stuff!
4,Healthy Sweetener
4,Great way replacing the sugar
3,Great substitute sweetener
4,My Go to sweetner
4,The Best
4,YUMMY
4,Healthy Stuff
4,Agave Nectar
4,Sweet success
4,great product
4,Best price on agave nectar that I've found
0,How this could be good?
4,Best tea I ever had
4,That's a spicy!
4,Who needs salsa when chips taste this good?
4,Delicious!
3,Organic yummy chips what more can you ask for
3,Very different flavor
4,These are the best widely available bbq chips!
4,My favorite chips from Kettle!!
4,"Amazing Taste, Best Chip Ever!"
3,tasty
3,Plocky's Sweet Smokey Chipotle Whole Grain Tortill...
4,Yummy chips
4,Tasty!
4,So Faboo: Dangerous for those prone to Chips Binges!!!
4,The spice will grow!
4,The best tortilla chips I have ever eaten!!
4,Such an excellent chip
0,WRONG FLAVOR - got Country BBQ instead of Chili Chipotle
4,Great
4,Plocky's Rice and Beans Tortilla Chips
4,Huge fan of these chips!
3,Plocky's tortilla chips--tasty and healthy
4,Plocky's Three Grain Tortilla Chips
3,"Tasty, but make sure you have gum"
4,Don't stop carrying these chips
4,OM NOM NOM NOM!
4,delicious and healthy
4,Unique schrumshist and tasty Tortilla Chips
4,Music to My Palate
4,yummy!
4,Kettle Organic Chipotle potato chips
4,Best kept secret.
4,Delicious and additive
4,FANFREAKINTASTIC
4,Smokin'
4,really good chips
4,"Plocky's Tortilla Chips, Red Beans 'N Rice"
4,"""Simply THE BEST"""
4,Addicted
4,Perfect tortilla chip goodness!
4,These chips are addictive!
4,Best tortilla chips ever!!!
1,Meh
0,"The ""Organic"" Label is Misleading"
2,Kind of Bland
4,Delicious chips
3,Broken chips but tasty
4,The best chips ever!!!
4,Excellent Tortilla chips
4,Black Beans Never Tasted So Good!!!
1,"Not, my favorite chip"
4,Very Timely Delivery
1,Very Tasty - BUT BEWARE
4,Great candy
3,Candy
4,"cute ,cute, cute!"
3,A Surprising Find
4,Unparalleled taste
4,Amazing
2,a bit on the stale side
4,Delicious!
0,Disappointed!
0,Perhaps something was wrong with the batch...
1,$4 down the drain
0,Big Disappointment
0,Worst Frosting Ever
0,worst frosting ever
0,Cherrybrook Kitchen Vanilla Frosting
0,"Do Not Buy This ""Frosting"""
4,Dum Dums for all!!
3,Lots of pops!
4,"when you have no fridge but want meat, what do you do?"
4,Anti-Oxidant Smoothie
0,Perversion of taste
2,Annie's Homegrown Organic Whole Wheat Shells & White Cheddar Macaroni & Cheese - 6 oz.
4,The flavor of the gods
4,cuttiest gum of the century
1,"City Steam, not much steam in this brew."
3,"Good soy sauce, but not special. Mainly good as unique gift."
4,What a surprise
4,Gets My Vote
4,And I though kikkoman was good?
4,Better than anything in the supermarket!
4,Best Soy Sauce Ever!!!
4,Great sauce!
4,Outstanding Product!
3,non GMO
4,Amazingly true to flavors...
0,IT'S A LAXATIVE
4,Good Tasting cup o' joe
4,Best of the Tassimo's
4,great coffee - terrible price
3,One of the better T-Discs
2,Note: Rating both coffee and seller
4,Kona for Tassimo
4,Best wafers
0,Tao of Tea ...!Don't get it
3,Perfect Sampler of Milka Chocolate
4,Dad really liked these.
3,Great candy my family loved it
4,Yummy!
0,Horrible .. dont buy it
4,Kleri Tea works great!
2,Where are the cranberries?
4,Our ferret loves this...
4,Fantastic!
4,Great little treats
0,NOT edible!
2,speedy shipping
3,"My sons 9 & 11 loved making this, as easy enough to do by themselves. With adult supervision any age can do this neat project."
3,Spongetastic!
1,not as easy as it looks
0,Not one but twice came broken.
4,Rudolph Gingerbread House
3,Fun to paint
1,disappointment
1,Cute Item... but expired!
0,If I could give a rating under one-star...
0,Horrid
3,delicious
4,I love this tea - to each her own taste buds!
4,There is none greater.
4,Caramel chocolate
4,Chocolate heaven
4,Heavenly Action
2,Great chocolate...
4,Great item
4,choclate
2,is this serious??? 10 bucks??
4,Yum!
2,"Overpriced, Even on Gold Box"
2,Even at $15 seems a little overpriced.
4,Quick arrival great basket!
4,Adorable basket-makes nice presentation
4,Specialty party item
4,Delicious!
4,Chocolate - How can you go wrong?
4,chocolate liquor cups
4,Scottie
3,has a very good flavor
1,Odd Fake Flavor - Not Recommended
2,"Good sugarless gum, with stronger gum for better bubble blowing than other sugarless gums"
4,Great Gum
4,Delicious IMO and.... helps weight loss
4,ROYAL CANIN COCKER
4,Perfect for Cockers!
4,My dog loves this food!
4,Great deal!
4,Great food!
4,Buster Loves this dog food
3,Happy Dogs
4,"Fast and great service,"
4,GOOD FOOD!
4,Happy Dog
4,Great way to order
4,"Good quality, delivered on time, human edible."
4,Rave Review for Rolled Oats
4,Excellent
0,Very Different taste from the 'Made in UK' or 'Made in India' version.
0,Not like other countries Cadbury
4,Great deal on great tea
4,Best Breakfast Tea ever
4,great organic tea at a great price
2,"Mediocre, but cheap"
4,Delicious and consistently good quality
3,Nice flavorful tea for the purist black tea addict
4,the best tea
4,Great Tea
4,"This is a very fine tasting full lea, a great value!"
2,not creamy...
4,This caramel is fantastic!!!
4,Great caramels
4,Where Has This Candy Been?
0,not for traditional caramel lovers
3,soda
4,Aluminum Free!
4,This baking soda is the 'bomb!'
2,Interesting info about baking soda
4,"Excellent quality product, fast delivery..."
4,"Good oatmeal, I'm on my second bag"
4,mm mm oats
4,Loved the Oats!!
1,Funny taste
3,awsome
4,Very Happy with Pocky Sticks
4,These are great!
4,I love this snack!
2,Chocolate was all melt
4,This Item Is Awesome!!!!
4,Great tasting snack...if you get the Japanese Pocky
4,Great product
3,Delicious
4,"Fun ""popping-crispy"" sticks dipped in chocolate, special treat for manga fans, but find local or wait till fall"
4,Yummy
1,Doesn't taste as it should
4,Pocky!!
4,Great Buy
4,Good stuff
1,Pocky sticks together
0,Really wanted to like these...
4,"Good berry flavor, excellent price."
1,The chocolate ones are much better
0,Something has changed
4,Good berry flavor
3,great taste But size it smaller
1,"Cheaper Ingredients, Lowered Quality"
0,Not a Fan
3,Perfect Size
3,Pretty good overall
4,My child LOVES them!
3,small but good
4,You can't go wrong
3,"Yummy, but small..."
2,Be Very Berry Wary.
4,Highly recomended!
4,Very Berry Snack Bars
3,Great snack
4,Great bars for gluten-free diets!
0,ABSOLUTELY VILE!!!
4,Fantastic Coffee!!  Best I've ever had
4,Strictly the Best!
4,Best Coffee!
3,Beautiful presentation ...and a pretty good tea too!
1,Break Easily
3,Wonderful Tea!
4,I can't take the smell
2,"Our twins love this one. With the subscription, the price is fair"
3,Dessert to Them.  But is it Nutritional Enough?
2,Repeated deliveries of broken jars.  Great product though
3,"Good flavor, too runny though"
2,12% Protein and 50% Vitamin A
4,Baby Lilly says 2 thumbs up!
4,Earth's Best Rice & Lentil dinner
0,Plastic in the food!
3,My baby's favorite 2nd stage food so far and great for constipation!
4,Sons Favorite Dinner!!!
4,No Issues
2,Too thin
4,A great place to start
3,good for you but not best flavor
4,A favorite!
0,Runny and odd-tasting
2,Too runny...
3,"Great taste for a picky baby, but very thin compared to others"
4,Great stuff
4,Son loves it
4,Love it
0,FOUND SHREDDED PLASTIC IN THE BABY FOOD!!!!
4,My son loves it!
2,Meh.  My daughter eats most everything else... this isn't her thing.
2,Not as yummy as Earth's Best's other flavors
4,Son's 2nd Favorite Dish
0,Had to toss 9 out of 12 jars
4,One of our favorites
3,Our Baby Likes it
4,Our Baby's Favorite Dinner
3,My daughter's favorite jarred food
4,yum
4,the only jarred baby food my son ate
2,A little more watery than other 2nd foods for EB
4,50 calories of yumminess
4,Organic and tasty.
4,One of my son's favorites
4,Great
4,They make the best baby food.
4,A favorite
4,Geat Product
0,the garbanzo beans in it give horrible gas
1,Baby didn't like it
4,My baby's favorite dinner
0,"Baby loves it, but there is plastic in it"
4,Baby likes this one
4,Organic and Tasty
3,My baby liked it
0,moms (and dads) beware of plastic in the food
3,Allday Energy
4,The best!
3,Tasty Fruit
4,Beautiful fresh and it came easrly!v Yey!!
4,"Fresh Fruit, Dark Chocolate"
4,Sassafras Tea Bags
3,sassafrass tea
3,Good tasten tea.
4,hard to find tea
4,Better Taste Than I Expected
4,lovely!
0,K
4,Great product.
1,Sass Tea
1,The most awful taste
1,"These are good, but ..."
4,Great product!
2,Great Paste BUT Way Overpriced like 3x more
4,so easy to use
0,OMG DO NOT BUY!!!
4,WONDERFUL gravy!
4,YEEEEE HAWWW!
4,Best white gravy !
4,Pioneer Gravy is GREAT!
4,Eco sugar
4,More expensive online
3,Very Convenient and far better than instant coffee
4,No-Pot Fresh Coffee
3,Simple. Convenient
4,Brews an excellent cup of coffee quickly and easily
4,Very Convenient
4,Great taste
4,DELISH!!!!
4,new to rooibos tea
4,Tasted better than loose leaf rooibos
4,Best matcha quality and price
4,The Best
4,"Moore's Marinade, Gluten, low sodium and MSG Free!"
4,Great Tasting Diet Tea with all Natural Ingredients
4,Awesome Sauce
4,love this hot sauce
4,Great hot sauce!
4,Love This Stuff
4,Best sauce around
4,Tasty hot sauce!
4,Best all around hot sauce
4,best hot sauce around
4,Hot & Flavorful
4,Great Hot Sauce and people who run it!
4,this sauce is the shiznit
0,Not Hot
1,"Not hot, not habanero"
4,best babka
3,My dog loves these but....
4,She loves them...
2,Not healthy but they taste good
4,My dog loves these!!!!
4,The Puppy Dogs Love Them!
4,A great price!
2,Smells like roses but no safety or freshness seal.
2,delicious truffle goodness!
1,a little too sweet
4,Way too salty
4,Warm and Wonderful
0,Not good
4,BEst stuff ever
4,An ideal breakfast
4,"Love, Love, Love my Mueslix!!"
1,Nothing like actual Muesli
1,Contains trans fat and high fructose corn syrup
4,SUPERIOR HARD-TO-FIND PRODUCT
4,cereal
4,"This is good, but bring back ""Just Right"" cereal"
4,Favorite cereal
4,AWESOME CEREAL
4,Kellogg's Mueslix
4,overall A+
4,Wonderful for breakfast AND snacks!
4,Great Cereal
4,LOVE Mueslix
4,Best cereal I have ever eaten!
4,Hard to find cereal found!
4,Great Taste - Healthy Cereal
4,Kelloggs Muselix are GREAT
4,Mueslix Cereal
4,"Great mix of fruit, nuts, and whole grain"
4,Not in grocery stores
4,yummy for ur tummy
4,My Mom's favorite ceral
3,Finally
4,Kellogg's Mueslix Cereal
2,Cereal is great.  Price is awful.
0,Buyer Beware!This product contains High Fructose Corn Syrup!
4,Love It
4,Great Stuff
4,Delicate Asian salad dressing...
4,Totally a great balance in flavors I expect from an Asian dressing!
2,somewhat sweet
0,coffee beans
4,Jeremiah's Pick:  great coffee
3,Good product - better price elsewhere
0,Yuk!
4,Great color
4,Totally Fantastic
1,Have not tried product.... however...
4,Best Tea EVER!!
4,Favorite Tea
4,Makes everything better
4,Great fat free and spicy!!!
2,Not exactly as described
1,Crumbled cookies are no fun to eat
4,Heavenly!
4,Nicely packaged for a serving
