PhraseId,SentenceId,Phrase,Sentiment,Bert_Loss,Bert_Logits,RoBerta_Loss,RoBerta_Logits
11,1,demonstrating the adage,2,"tensor(0.5902, grad_fn=<NllLossBackward>)","tensor([[0.0149, 0.2327]], grad_fn=<AddmmBackward>)","tensor(0.7637, grad_fn=<NllLossBackward>)","tensor([[-0.0047, -0.1411]], grad_fn=<AddmmBackward>)"
12,1,demonstrating,2,"tensor(0.5465, grad_fn=<NllLossBackward>)","tensor([[-0.0139,  0.3046]], grad_fn=<AddmmBackward>)","tensor(0.7650, grad_fn=<NllLossBackward>)","tensor([[-1.3676e-04, -1.3899e-01]], grad_fn=<AddmmBackward>)"
13,1,the adage,2,"tensor(0.5930, grad_fn=<NllLossBackward>)","tensor([[0.0598, 0.2713]], grad_fn=<AddmmBackward>)","tensor(0.7624, grad_fn=<NllLossBackward>)","tensor([[-0.0010, -0.1351]], grad_fn=<AddmmBackward>)"
14,1,the,2,"tensor(0.6166, grad_fn=<NllLossBackward>)","tensor([[0.0853, 0.2446]], grad_fn=<AddmmBackward>)","tensor(0.7532, grad_fn=<NllLossBackward>)","tensor([[-0.0072, -0.1238]], grad_fn=<AddmmBackward>)"
15,1,adage,2,"tensor(0.4714, grad_fn=<NllLossBackward>)","tensor([[-0.0676,  0.4394]], grad_fn=<AddmmBackward>)","tensor(0.7600, grad_fn=<NllLossBackward>)","tensor([[-0.0068, -0.1363]], grad_fn=<AddmmBackward>)"
16,1,that what is good for the goose,2,"tensor(0.5503, grad_fn=<NllLossBackward>)","tensor([[0.0111, 0.3206]], grad_fn=<AddmmBackward>)","tensor(0.7645, grad_fn=<NllLossBackward>)","tensor([[-0.0039, -0.1419]], grad_fn=<AddmmBackward>)"
17,1,that,2,"tensor(0.4543, grad_fn=<NllLossBackward>)","tensor([[-0.1031,  0.4500]], grad_fn=<AddmmBackward>)","tensor(0.7601, grad_fn=<NllLossBackward>)","tensor([[-0.0013, -0.1311]], grad_fn=<AddmmBackward>)"
18,1,what is good for the goose,2,"tensor(0.5104, grad_fn=<NllLossBackward>)","tensor([[-0.0194,  0.3872]], grad_fn=<AddmmBackward>)","tensor(0.7665, grad_fn=<NllLossBackward>)","tensor([[-0.0012, -0.1430]], grad_fn=<AddmmBackward>)"
19,1,what,2,"tensor(0.5077, grad_fn=<NllLossBackward>)","tensor([[-0.0055,  0.4079]], grad_fn=<AddmmBackward>)","tensor(0.7539, grad_fn=<NllLossBackward>)","tensor([[-0.0005, -0.1185]], grad_fn=<AddmmBackward>)"
20,1,is good for the goose,2,"tensor(0.5073, grad_fn=<NllLossBackward>)","tensor([[-0.0253,  0.3891]], grad_fn=<AddmmBackward>)","tensor(0.7663, grad_fn=<NllLossBackward>)","tensor([[ 0.0013, -0.1401]], grad_fn=<AddmmBackward>)"
21,1,is,2,"tensor(0.5337, grad_fn=<NllLossBackward>)","tensor([[-0.0121,  0.3372]], grad_fn=<AddmmBackward>)","tensor(0.7593, grad_fn=<NllLossBackward>)","tensor([[-0.0037, -0.1318]], grad_fn=<AddmmBackward>)"
22,1,good for the goose,3,"tensor(0.6415, grad_fn=<NllLossBackward>)","tensor([[0.1605, 0.2667]], grad_fn=<AddmmBackward>)","tensor(0.7684, grad_fn=<NllLossBackward>)","tensor([[-9.1240e-05, -1.4527e-01]], grad_fn=<AddmmBackward>)"
23,1,good,3,"tensor(0.5427, grad_fn=<NllLossBackward>)","tensor([[0.0371, 0.3648]], grad_fn=<AddmmBackward>)","tensor(0.7564, grad_fn=<NllLossBackward>)","tensor([[-0.0046, -0.1274]], grad_fn=<AddmmBackward>)"
24,1,for the goose,2,"tensor(0.6019, grad_fn=<NllLossBackward>)","tensor([[0.0992, 0.2909]], grad_fn=<AddmmBackward>)","tensor(0.7648, grad_fn=<NllLossBackward>)","tensor([[-0.0022, -0.1408]], grad_fn=<AddmmBackward>)"
25,1,for,2,"tensor(0.5221, grad_fn=<NllLossBackward>)","tensor([[-0.0118,  0.3656]], grad_fn=<AddmmBackward>)","tensor(0.7540, grad_fn=<NllLossBackward>)","tensor([[-0.0065, -0.1248]], grad_fn=<AddmmBackward>)"
26,1,the goose,2,"tensor(0.6512, grad_fn=<NllLossBackward>)","tensor([[0.1645, 0.2501]], grad_fn=<AddmmBackward>)","tensor(0.7594, grad_fn=<NllLossBackward>)","tensor([[-0.0062, -0.1345]], grad_fn=<AddmmBackward>)"
27,1,goose,2,"tensor(0.4845, grad_fn=<NllLossBackward>)","tensor([[-0.1087,  0.3638]], grad_fn=<AddmmBackward>)","tensor(0.7647, grad_fn=<NllLossBackward>)","tensor([[-0.0029, -0.1412]], grad_fn=<AddmmBackward>)"
28,1,"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",2,"tensor(0.4504, grad_fn=<NllLossBackward>)","tensor([[-0.1249,  0.4392]], grad_fn=<AddmmBackward>)","tensor(0.7660, grad_fn=<NllLossBackward>)","tensor([[ 0.0063, -0.1344]], grad_fn=<AddmmBackward>)"
29,1,"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story",2,"tensor(0.4687, grad_fn=<NllLossBackward>)","tensor([[-0.0781,  0.4361]], grad_fn=<AddmmBackward>)","tensor(0.7670, grad_fn=<NllLossBackward>)","tensor([[ 0.0077, -0.1348]], grad_fn=<AddmmBackward>)"
30,1,is also,2,"tensor(0.5631, grad_fn=<NllLossBackward>)","tensor([[0.0077, 0.2873]], grad_fn=<AddmmBackward>)","tensor(0.7552, grad_fn=<NllLossBackward>)","tensor([[-0.0151, -0.1355]], grad_fn=<AddmmBackward>)"
31,1,also,2,"tensor(0.5861, grad_fn=<NllLossBackward>)","tensor([[0.0452, 0.2720]], grad_fn=<AddmmBackward>)","tensor(0.7592, grad_fn=<NllLossBackward>)","tensor([[-0.0053, -0.1334]], grad_fn=<AddmmBackward>)"
32,1,"good for the gander , some of which occasionally amuses but none of which amounts to much of a story",2,"tensor(0.4865, grad_fn=<NllLossBackward>)","tensor([[-0.0433,  0.4240]], grad_fn=<AddmmBackward>)","tensor(0.7647, grad_fn=<NllLossBackward>)","tensor([[ 0.0033, -0.1351]], grad_fn=<AddmmBackward>)"
33,1,"for the gander , some of which occasionally amuses but none of which amounts to much of a story",2,"tensor(0.4620, grad_fn=<NllLossBackward>)","tensor([[-0.0921,  0.4403]], grad_fn=<AddmmBackward>)","tensor(0.7626, grad_fn=<NllLossBackward>)","tensor([[ 0.0003, -0.1341]], grad_fn=<AddmmBackward>)"
34,1,"the gander , some of which occasionally amuses but none of which amounts to much of a story",1,"tensor(0.4686, grad_fn=<NllLossBackward>)","tensor([[-0.0706,  0.4440]], grad_fn=<AddmmBackward>)","tensor(0.7631, grad_fn=<NllLossBackward>)","tensor([[-0.0014, -0.1367]], grad_fn=<AddmmBackward>)"
35,1,"the gander ,",2,"tensor(0.4188, grad_fn=<NllLossBackward>)","tensor([[-0.1874,  0.4664]], grad_fn=<AddmmBackward>)","tensor(0.7642, grad_fn=<NllLossBackward>)","tensor([[-0.0031, -0.1405]], grad_fn=<AddmmBackward>)"
36,1,the gander,2,"tensor(0.5933, grad_fn=<NllLossBackward>)","tensor([[0.0758, 0.2864]], grad_fn=<AddmmBackward>)","tensor(0.7603, grad_fn=<NllLossBackward>)","tensor([[-0.0054, -0.1355]], grad_fn=<AddmmBackward>)"
37,1,gander,2,"tensor(0.6121, grad_fn=<NllLossBackward>)","tensor([[0.0735, 0.2427]], grad_fn=<AddmmBackward>)","tensor(0.7591, grad_fn=<NllLossBackward>)","tensor([[-6.7692e-05, -1.2789e-01]], grad_fn=<AddmmBackward>)"
38,1,",",2,"tensor(0.4382, grad_fn=<NllLossBackward>)","tensor([[-0.1709,  0.4270]], grad_fn=<AddmmBackward>)","tensor(0.7612, grad_fn=<NllLossBackward>)","tensor([[-0.0016, -0.1334]], grad_fn=<AddmmBackward>)"
39,1,some of which occasionally amuses but none of which amounts to much of a story,2,"tensor(0.4716, grad_fn=<NllLossBackward>)","tensor([[-0.0541,  0.4526]], grad_fn=<AddmmBackward>)","tensor(0.7635, grad_fn=<NllLossBackward>)","tensor([[ 0.0027, -0.1335]], grad_fn=<AddmmBackward>)"
40,1,some of which,2,"tensor(0.5286, grad_fn=<NllLossBackward>)","tensor([[-0.0337,  0.3279]], grad_fn=<AddmmBackward>)","tensor(0.7626, grad_fn=<NllLossBackward>)","tensor([[ 0.0002, -0.1341]], grad_fn=<AddmmBackward>)"
41,1,some,2,"tensor(0.5042, grad_fn=<NllLossBackward>)","tensor([[-0.0325,  0.3896]], grad_fn=<AddmmBackward>)","tensor(0.7605, grad_fn=<NllLossBackward>)","tensor([[ 0.0040, -0.1264]], grad_fn=<AddmmBackward>)"
42,1,of which,2,"tensor(0.5112, grad_fn=<NllLossBackward>)","tensor([[-0.0147,  0.3897]], grad_fn=<AddmmBackward>)","tensor(0.7620, grad_fn=<NllLossBackward>)","tensor([[ 0.0004, -0.1328]], grad_fn=<AddmmBackward>)"
43,1,which,2,"tensor(0.5546, grad_fn=<NllLossBackward>)","tensor([[0.0046, 0.3040]], grad_fn=<AddmmBackward>)","tensor(0.7551, grad_fn=<NllLossBackward>)","tensor([[-0.0091, -0.1293]], grad_fn=<AddmmBackward>)"
44,1,occasionally amuses but none of which amounts to much of a story,2,"tensor(0.4882, grad_fn=<NllLossBackward>)","tensor([[-0.0414,  0.4216]], grad_fn=<AddmmBackward>)","tensor(0.7618, grad_fn=<NllLossBackward>)","tensor([[-0.0009, -0.1338]], grad_fn=<AddmmBackward>)"
45,1,occasionally,2,"tensor(0.5402, grad_fn=<NllLossBackward>)","tensor([[-0.0052,  0.3284]], grad_fn=<AddmmBackward>)","tensor(0.7623, grad_fn=<NllLossBackward>)","tensor([[-0.0039, -0.1378]], grad_fn=<AddmmBackward>)"
46,1,amuses but none of which amounts to much of a story,2,"tensor(0.5310, grad_fn=<NllLossBackward>)","tensor([[0.0043, 0.3602]], grad_fn=<AddmmBackward>)","tensor(0.7622, grad_fn=<NllLossBackward>)","tensor([[ 0.0025, -0.1311]], grad_fn=<AddmmBackward>)"
47,1,amuses,3,"tensor(0.5684, grad_fn=<NllLossBackward>)","tensor([[0.0277, 0.2950]], grad_fn=<AddmmBackward>)","tensor(0.7623, grad_fn=<NllLossBackward>)","tensor([[ 0.0005, -0.1334]], grad_fn=<AddmmBackward>)"
48,1,but none of which amounts to much of a story,1,"tensor(0.5351, grad_fn=<NllLossBackward>)","tensor([[0.0364, 0.3823]], grad_fn=<AddmmBackward>)","tensor(0.7599, grad_fn=<NllLossBackward>)","tensor([[-0.0022, -0.1316]], grad_fn=<AddmmBackward>)"
49,1,but,2,"tensor(0.5861, grad_fn=<NllLossBackward>)","tensor([[0.0588, 0.2857]], grad_fn=<AddmmBackward>)","tensor(0.7543, grad_fn=<NllLossBackward>)","tensor([[-0.0041, -0.1229]], grad_fn=<AddmmBackward>)"
50,1,none of which amounts to much of a story,1,"tensor(0.5922, grad_fn=<NllLossBackward>)","tensor([[0.1010, 0.3143]], grad_fn=<AddmmBackward>)","tensor(0.7617, grad_fn=<NllLossBackward>)","tensor([[-0.0016, -0.1343]], grad_fn=<AddmmBackward>)"
51,1,none,2,"tensor(0.5547, grad_fn=<NllLossBackward>)","tensor([[0.0066, 0.3059]], grad_fn=<AddmmBackward>)","tensor(0.7582, grad_fn=<NllLossBackward>)","tensor([[-0.0012, -0.1273]], grad_fn=<AddmmBackward>)"
52,1,of which amounts to much of a story,2,"tensor(0.6145, grad_fn=<NllLossBackward>)","tensor([[0.0971, 0.2611]], grad_fn=<AddmmBackward>)","tensor(0.7553, grad_fn=<NllLossBackward>)","tensor([[-0.0117, -0.1323]], grad_fn=<AddmmBackward>)"
53,1,which amounts to much of a story,2,"tensor(0.5752, grad_fn=<NllLossBackward>)","tensor([[0.0757, 0.3273]], grad_fn=<AddmmBackward>)","tensor(0.7549, grad_fn=<NllLossBackward>)","tensor([[-0.0128, -0.1327]], grad_fn=<AddmmBackward>)"
54,1,amounts to much of a story,2,"tensor(0.4546, grad_fn=<NllLossBackward>)","tensor([[-0.0671,  0.4853]], grad_fn=<AddmmBackward>)","tensor(0.7550, grad_fn=<NllLossBackward>)","tensor([[-0.0080, -0.1281]], grad_fn=<AddmmBackward>)"
55,1,amounts,2,"tensor(0.4969, grad_fn=<NllLossBackward>)","tensor([[-0.0736,  0.3669]], grad_fn=<AddmmBackward>)","tensor(0.7572, grad_fn=<NllLossBackward>)","tensor([[-0.0062, -0.1304]], grad_fn=<AddmmBackward>)"
56,1,to much of a story,2,"tensor(0.5696, grad_fn=<NllLossBackward>)","tensor([[0.0302, 0.2947]], grad_fn=<AddmmBackward>)","tensor(0.7598, grad_fn=<NllLossBackward>)","tensor([[ 0.0025, -0.1267]], grad_fn=<AddmmBackward>)"
57,1,to,2,"tensor(0.4493, grad_fn=<NllLossBackward>)","tensor([[-0.1177,  0.4494]], grad_fn=<AddmmBackward>)","tensor(0.7614, grad_fn=<NllLossBackward>)","tensor([[-0.0024, -0.1345]], grad_fn=<AddmmBackward>)"
58,1,much of a story,2,"tensor(0.5820, grad_fn=<NllLossBackward>)","tensor([[0.0716, 0.3077]], grad_fn=<AddmmBackward>)","tensor(0.7579, grad_fn=<NllLossBackward>)","tensor([[-0.0015, -0.1271]], grad_fn=<AddmmBackward>)"
59,1,much,2,"tensor(0.4899, grad_fn=<NllLossBackward>)","tensor([[-0.0633,  0.3955]], grad_fn=<AddmmBackward>)","tensor(0.7564, grad_fn=<NllLossBackward>)","tensor([[-0.0066, -0.1293]], grad_fn=<AddmmBackward>)"
60,1,of a story,2,"tensor(0.4824, grad_fn=<NllLossBackward>)","tensor([[-0.0618,  0.4164]], grad_fn=<AddmmBackward>)","tensor(0.7570, grad_fn=<NllLossBackward>)","tensor([[ 0.0030, -0.1208]], grad_fn=<AddmmBackward>)"
61,1,a story,2,"tensor(0.5568, grad_fn=<NllLossBackward>)","tensor([[0.0448, 0.3391]], grad_fn=<AddmmBackward>)","tensor(0.7585, grad_fn=<NllLossBackward>)","tensor([[-8.9295e-05, -1.2679e-01]], grad_fn=<AddmmBackward>)"
62,1,story,2,"tensor(0.5326, grad_fn=<NllLossBackward>)","tensor([[-0.0142,  0.3378]], grad_fn=<AddmmBackward>)","tensor(0.7590, grad_fn=<NllLossBackward>)","tensor([[ 0.0011, -0.1265]], grad_fn=<AddmmBackward>)"
63,1,.,2,"tensor(0.4172, grad_fn=<NllLossBackward>)","tensor([[-0.2150,  0.4435]], grad_fn=<AddmmBackward>)","tensor(0.7613, grad_fn=<NllLossBackward>)","tensor([[-0.0002, -0.1321]], grad_fn=<AddmmBackward>)"
64,2,"This quiet , introspective and entertaining independent is worth seeking .",4,"tensor(0.4861, grad_fn=<NllLossBackward>)","tensor([[-0.0700,  0.3986]], grad_fn=<AddmmBackward>)","tensor(0.7587, grad_fn=<NllLossBackward>)","tensor([[-0.0066, -0.1337]], grad_fn=<AddmmBackward>)"
65,2,"This quiet , introspective and entertaining independent",3,"tensor(0.5016, grad_fn=<NllLossBackward>)","tensor([[-0.0651,  0.3636]], grad_fn=<AddmmBackward>)","tensor(0.7591, grad_fn=<NllLossBackward>)","tensor([[-0.0041, -0.1319]], grad_fn=<AddmmBackward>)"
66,2,This,2,"tensor(0.5912, grad_fn=<NllLossBackward>)","tensor([[0.0765, 0.2920]], grad_fn=<AddmmBackward>)","tensor(0.7590, grad_fn=<NllLossBackward>)","tensor([[-6.0640e-05, -1.2760e-01]], grad_fn=<AddmmBackward>)"
67,2,"quiet , introspective and entertaining independent",4,"tensor(0.4453, grad_fn=<NllLossBackward>)","tensor([[-0.1515,  0.4265]], grad_fn=<AddmmBackward>)","tensor(0.7630, grad_fn=<NllLossBackward>)","tensor([[-0.0008, -0.1360]], grad_fn=<AddmmBackward>)"
68,2,"quiet , introspective and entertaining",3,"tensor(0.4278, grad_fn=<NllLossBackward>)","tensor([[-0.2214,  0.4063]], grad_fn=<AddmmBackward>)","tensor(0.7653, grad_fn=<NllLossBackward>)","tensor([[ 0.0041, -0.1353]], grad_fn=<AddmmBackward>)"
69,2,quiet,2,"tensor(0.5036, grad_fn=<NllLossBackward>)","tensor([[-0.0229,  0.4007]], grad_fn=<AddmmBackward>)","tensor(0.7567, grad_fn=<NllLossBackward>)","tensor([[-0.0029, -0.1261]], grad_fn=<AddmmBackward>)"
70,2,", introspective and entertaining",3,"tensor(0.4638, grad_fn=<NllLossBackward>)","tensor([[-0.1600,  0.3675]], grad_fn=<AddmmBackward>)","tensor(0.7652, grad_fn=<NllLossBackward>)","tensor([[ 0.0039, -0.1353]], grad_fn=<AddmmBackward>)"
71,2,introspective and entertaining,3,"tensor(0.4546, grad_fn=<NllLossBackward>)","tensor([[-0.1684,  0.3841]], grad_fn=<AddmmBackward>)","tensor(0.7658, grad_fn=<NllLossBackward>)","tensor([[ 0.0021, -0.1382]], grad_fn=<AddmmBackward>)"
72,2,introspective and,3,"tensor(0.4269, grad_fn=<NllLossBackward>)","tensor([[-0.1839,  0.4463]], grad_fn=<AddmmBackward>)","tensor(0.7682, grad_fn=<NllLossBackward>)","tensor([[ 0.0051, -0.1398]], grad_fn=<AddmmBackward>)"
73,2,introspective,2,"tensor(0.4373, grad_fn=<NllLossBackward>)","tensor([[-0.1553,  0.4453]], grad_fn=<AddmmBackward>)","tensor(0.7615, grad_fn=<NllLossBackward>)","tensor([[-0.0041, -0.1363]], grad_fn=<AddmmBackward>)"
74,2,and,2,"tensor(0.5324, grad_fn=<NllLossBackward>)","tensor([[-0.0430,  0.3094]], grad_fn=<AddmmBackward>)","tensor(0.7618, grad_fn=<NllLossBackward>)","tensor([[-0.0011, -0.1339]], grad_fn=<AddmmBackward>)"
75,2,entertaining,4,"tensor(0.5647, grad_fn=<NllLossBackward>)","tensor([[0.0087, 0.2844]], grad_fn=<AddmmBackward>)","tensor(0.7618, grad_fn=<NllLossBackward>)","tensor([[-0.0030, -0.1360]], grad_fn=<AddmmBackward>)"
76,2,independent,2,"tensor(0.4633, grad_fn=<NllLossBackward>)","tensor([[-0.0643,  0.4644]], grad_fn=<AddmmBackward>)","tensor(0.7602, grad_fn=<NllLossBackward>)","tensor([[-0.0035, -0.1334]], grad_fn=<AddmmBackward>)"
77,2,is worth seeking .,3,"tensor(0.4301, grad_fn=<NllLossBackward>)","tensor([[-0.1786,  0.4424]], grad_fn=<AddmmBackward>)","tensor(0.7600, grad_fn=<NllLossBackward>)","tensor([[-0.0037, -0.1332]], grad_fn=<AddmmBackward>)"
78,2,is worth seeking,4,"tensor(0.4769, grad_fn=<NllLossBackward>)","tensor([[-0.0577,  0.4348]], grad_fn=<AddmmBackward>)","tensor(0.7595, grad_fn=<NllLossBackward>)","tensor([[-0.0028, -0.1313]], grad_fn=<AddmmBackward>)"
79,2,is worth,2,"tensor(0.4547, grad_fn=<NllLossBackward>)","tensor([[-0.0795,  0.4727]], grad_fn=<AddmmBackward>)","tensor(0.7591, grad_fn=<NllLossBackward>)","tensor([[-0.0076, -0.1354]], grad_fn=<AddmmBackward>)"
80,2,worth,2,"tensor(0.5377, grad_fn=<NllLossBackward>)","tensor([[-0.0065,  0.3330]], grad_fn=<AddmmBackward>)","tensor(0.7577, grad_fn=<NllLossBackward>)","tensor([[-0.0066, -0.1318]], grad_fn=<AddmmBackward>)"
81,2,seeking,2,"tensor(0.5469, grad_fn=<NllLossBackward>)","tensor([[-0.0170,  0.3006]], grad_fn=<AddmmBackward>)","tensor(0.7580, grad_fn=<NllLossBackward>)","tensor([[-0.0028, -0.1285]], grad_fn=<AddmmBackward>)"
82,3,"Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .",1,"tensor(0.5068, grad_fn=<NllLossBackward>)","tensor([[-0.0416,  0.3740]], grad_fn=<AddmmBackward>)","tensor(0.7601, grad_fn=<NllLossBackward>)","tensor([[-0.0029, -0.1325]], grad_fn=<AddmmBackward>)"
83,3,Even fans of Ismail Merchant 's work,2,"tensor(0.4833, grad_fn=<NllLossBackward>)","tensor([[-0.0295,  0.4461]], grad_fn=<AddmmBackward>)","tensor(0.7526, grad_fn=<NllLossBackward>)","tensor([[-0.0110, -0.1266]], grad_fn=<AddmmBackward>)"
84,3,Even fans,2,"tensor(0.5620, grad_fn=<NllLossBackward>)","tensor([[0.0487, 0.3309]], grad_fn=<AddmmBackward>)","tensor(0.7599, grad_fn=<NllLossBackward>)","tensor([[-0.0039, -0.1332]], grad_fn=<AddmmBackward>)"
85,3,Even,2,"tensor(0.6100, grad_fn=<NllLossBackward>)","tensor([[0.0954, 0.2692]], grad_fn=<AddmmBackward>)","tensor(0.7568, grad_fn=<NllLossBackward>)","tensor([[-0.0063, -0.1298]], grad_fn=<AddmmBackward>)"
86,3,fans,3,"tensor(0.4538, grad_fn=<NllLossBackward>)","tensor([[-0.0720,  0.4826]], grad_fn=<AddmmBackward>)","tensor(0.7621, grad_fn=<NllLossBackward>)","tensor([[-0.0002, -0.1336]], grad_fn=<AddmmBackward>)"
87,3,of Ismail Merchant 's work,2,"tensor(0.4687, grad_fn=<NllLossBackward>)","tensor([[-0.0926,  0.4216]], grad_fn=<AddmmBackward>)","tensor(0.7572, grad_fn=<NllLossBackward>)","tensor([[-0.0074, -0.1316]], grad_fn=<AddmmBackward>)"
88,3,Ismail Merchant 's work,2,"tensor(0.5278, grad_fn=<NllLossBackward>)","tensor([[-0.0070,  0.3565]], grad_fn=<AddmmBackward>)","tensor(0.7600, grad_fn=<NllLossBackward>)","tensor([[-0.0073, -0.1367]], grad_fn=<AddmmBackward>)"
89,3,Ismail Merchant 's,2,"tensor(0.5227, grad_fn=<NllLossBackward>)","tensor([[-0.0340,  0.3420]], grad_fn=<AddmmBackward>)","tensor(0.7623, grad_fn=<NllLossBackward>)","tensor([[-0.0025, -0.1363]], grad_fn=<AddmmBackward>)"
90,3,Ismail,2,"tensor(0.5705, grad_fn=<NllLossBackward>)","tensor([[0.0189, 0.2813]], grad_fn=<AddmmBackward>)","tensor(0.7612, grad_fn=<NllLossBackward>)","tensor([[ 0.0028, -0.1290]], grad_fn=<AddmmBackward>)"
91,3,Merchant 's,2,"tensor(0.5479, grad_fn=<NllLossBackward>)","tensor([[0.0022, 0.3174]], grad_fn=<AddmmBackward>)","tensor(0.7600, grad_fn=<NllLossBackward>)","tensor([[-0.0036, -0.1331]], grad_fn=<AddmmBackward>)"
92,3,Merchant,2,"tensor(0.5371, grad_fn=<NllLossBackward>)","tensor([[0.0155, 0.3566]], grad_fn=<AddmmBackward>)","tensor(0.7624, grad_fn=<NllLossBackward>)","tensor([[-0.0004, -0.1344]], grad_fn=<AddmmBackward>)"
93,3,'s,2,"tensor(0.5231, grad_fn=<NllLossBackward>)","tensor([[-0.0344,  0.3406]], grad_fn=<AddmmBackward>)","tensor(0.7616, grad_fn=<NllLossBackward>)","tensor([[-0.0031, -0.1356]], grad_fn=<AddmmBackward>)"
94,3,work,2,"tensor(0.5040, grad_fn=<NllLossBackward>)","tensor([[-0.0406,  0.3819]], grad_fn=<AddmmBackward>)","tensor(0.7547, grad_fn=<NllLossBackward>)","tensor([[-0.0049, -0.1246]], grad_fn=<AddmmBackward>)"
95,3,", I suspect , would have a hard time sitting through this one .",1,"tensor(0.5333, grad_fn=<NllLossBackward>)","tensor([[0.0182, 0.3685]], grad_fn=<AddmmBackward>)","tensor(0.7676, grad_fn=<NllLossBackward>)","tensor([[ 0.0014, -0.1424]], grad_fn=<AddmmBackward>)"
96,3,", I suspect ,",2,"tensor(0.4922, grad_fn=<NllLossBackward>)","tensor([[-0.0614,  0.3913]], grad_fn=<AddmmBackward>)","tensor(0.7676, grad_fn=<NllLossBackward>)","tensor([[ 0.0052, -0.1385]], grad_fn=<AddmmBackward>)"
97,3,"I suspect ,",2,"tensor(0.4988, grad_fn=<NllLossBackward>)","tensor([[-0.0410,  0.3949]], grad_fn=<AddmmBackward>)","tensor(0.7671, grad_fn=<NllLossBackward>)","tensor([[ 0.0036, -0.1393]], grad_fn=<AddmmBackward>)"
98,3,I suspect,2,"tensor(0.6061, grad_fn=<NllLossBackward>)","tensor([[0.1090, 0.2913]], grad_fn=<AddmmBackward>)","tensor(0.7649, grad_fn=<NllLossBackward>)","tensor([[ 0.0018, -0.1370]], grad_fn=<AddmmBackward>)"
99,3,I,2,"tensor(0.5686, grad_fn=<NllLossBackward>)","tensor([[0.0146, 0.2814]], grad_fn=<AddmmBackward>)","tensor(0.7607, grad_fn=<NllLossBackward>)","tensor([[-0.0004, -0.1313]], grad_fn=<AddmmBackward>)"
